# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
808.0	44.4495
809.0	45.5496
810.0	46.1854
811.0	46.6261
812.0	46.8817
813.0	47.0412
814.0	47.1441
815.0	47.2097
816.0	47.2506
817.0	47.2754
818.0	47.2901
819.0	47.2938
820.0	47.2898
821.0	47.2801
822.0	47.2662
823.0	47.2488
824.0	47.2291
825.0	47.208
826.0	47.1847
827.0	47.1606
828.0	47.1356
829.0	47.1094
830.0	47.0829
831.0	47.0555
832.0	47.0276
833.0	46.9993
834.0	46.9705
835.0	46.9416
836.0	46.9122
837.0	46.8828
838.0	46.8533
839.0	46.8232
840.0	46.7931
841.0	46.7629
842.0	46.7327
843.0	46.7024
844.0	46.6718
845.0	46.6412
846.0	46.6106
847.0	46.58
848.0	46.5495
849.0	46.5186
850.0	46.4877
851.0	46.4571
852.0	46.426
853.0	46.3953
854.0	46.3645
855.0	46.3336
856.0	46.3028
857.0	46.272
858.0	46.2413
859.0	46.2107
860.0	46.18
861.0	46.1491
862.0	46.1182
863.0	46.0876
864.0	46.0566
865.0	46.0259
866.0	45.9949
867.0	45.964
868.0	45.9334
869.0	45.9028
870.0	45.8721
871.0	45.8414
872.0	45.8107
873.0	45.7799
874.0	45.7492
875.0	45.7186
876.0	45.6879
877.0	45.6572
878.0	45.6266
879.0	45.5959
880.0	45.5653
881.0	45.5345
882.0	45.5037
883.0	45.473
884.0	45.4423
885.0	45.4115
886.0	45.3807
887.0	45.3496
888.0	45.3186
889.0	45.2877
890.0	45.2568
891.0	45.2258
892.0	45.1945
893.0	45.163
894.0	45.1315
895.0	45.0999
896.0	45.0677
897.0	45.0356
898.0	45.0034
899.0	44.9707
900.0	44.9378
901.0	44.9039
902.0	44.8696
903.0	44.8349
904.0	44.7994
905.0	44.7626
906.0	44.7242
907.0	44.685
908.0	44.6427
909.0	44.5981
910.0	44.5495
911.0	44.4955
912.0	44.4331
913.0	44.3677
914.0	44.2846
915.0	44.1865
916.0	44.0605
917.0	43.8893
918.0	43.638
919.0	43.2346
920.0	42.6189
921.0	41.8128
922.0	46.4935
923.0	42.0336
924.0	42.825
925.0	43.2699
926.0	43.5237
927.0	43.6728
928.0	43.7646
929.0	43.823
930.0	43.8575
931.0	43.8767
932.0	43.8857
933.0	43.8844
934.0	43.8794
935.0	43.8681
936.0	43.8546
937.0	43.8383
938.0	43.8197
939.0	43.7998
940.0	43.7783
941.0	43.7559
942.0	43.7327
943.0	43.709
944.0	43.6848
945.0	43.6601
946.0	43.6351
947.0	43.6101
948.0	43.5847
949.0	43.559
950.0	43.5331
951.0	43.507
952.0	43.4807
953.0	43.4543
954.0	43.428
955.0	43.4017
956.0	43.3752
957.0	43.3486
958.0	43.3219
959.0	43.2951
960.0	43.2683
961.0	43.2416
962.0	43.2148
963.0	43.1879
964.0	43.1611
965.0	43.1343
966.0	43.1074
967.0	43.0805
968.0	43.0536
969.0	43.0267
970.0	42.9999
971.0	42.973
972.0	42.9463
973.0	42.9209
974.0	43.8102
975.0	43.5494
976.0	42.8402
977.0	42.8125
978.0	42.7857
979.0	42.7589
980.0	42.7321
981.0	42.7053
982.0	42.6785
983.0	42.6517
984.0	42.6248
985.0	42.5981
986.0	42.5713
987.0	42.5449
988.0	42.5178
989.0	42.4912
990.0	42.4647
991.0	42.438
992.0	42.4112
993.0	42.3844
994.0	42.3579
995.0	42.3315
996.0	42.3049
997.0	42.2782
998.0	42.2459
999.0	42.212
1000.0	42.1982
1001.0	42.1717
1002.0	42.1452
1003.0	42.1187
1004.0	42.0922
1005.0	42.0657
1006.0	42.0392
1007.0	42.0125
1008.0	41.9859
1009.0	41.9591
1010.0	41.9322
1011.0	41.9052
1012.0	41.8783
1013.0	41.8513
1014.0	41.8239
1015.0	41.7966
1016.0	41.7687
1017.0	41.7407
1018.0	41.7122
1019.0	41.6835
1020.0	41.6542
1021.0	41.6241
1022.0	41.5935
1023.0	41.5615
1024.0	41.5283
1025.0	41.4933
1026.0	41.4559
1027.0	41.4151
1028.0	41.3695
1029.0	41.3169
1030.0	41.2548
1031.0	41.18
1032.0	41.0813
1033.0	40.9426
1034.0	40.7373
1035.0	40.391
1036.0	39.8392
1037.0	44.3712
1038.0	39.8914
1039.0	40.3518
1040.0	40.6096
1041.0	40.7717
1042.0	40.8506
1043.0	40.8942
1044.0	40.9166
1045.0	40.9231
1046.0	40.9219
1047.0	40.9179
1048.0	40.9084
1049.0	40.8952
1050.0	40.8804
1051.0	40.8622
1052.0	40.8435
1053.0	40.8238
1054.0	40.8028
1055.0	40.7818
1056.0	40.7602
1057.0	40.7378
1058.0	40.7155
1059.0	40.693
1060.0	40.6704
1061.0	40.6476
1062.0	40.6274
1063.0	41.6185
1064.0	40.5798
1065.0	40.5539
1066.0	40.5302
1067.0	40.5062
1068.0	40.4825
1069.0	40.4587
1070.0	40.435
1071.0	40.4114
1072.0	40.3875
1073.0	40.3634
1074.0	40.3395
1075.0	40.3156
1076.0	40.2915
1077.0	40.2679
1078.0	40.2436
1079.0	40.2198
1080.0	40.196
1081.0	40.1723
1082.0	40.1486
1083.0	40.1248
1084.0	40.1011
1085.0	40.0775
1086.0	40.0539
1087.0	40.03
1088.0	40.0063
1089.0	39.9826
1090.0	39.9591
1091.0	39.9352
1092.0	39.9118
1093.0	39.8879
1094.0	39.8643
1095.0	39.8406
1096.0	39.8174
1097.0	40.661
1098.0	39.7774
1099.0	39.7463
1100.0	39.7227
1101.0	39.6992
1102.0	39.6755
1103.0	39.6521
1104.0	39.6284
1105.0	39.6048
1106.0	39.5814
1107.0	39.5579
1108.0	39.5343
1109.0	39.5109
1110.0	39.4874
1111.0	39.4638
1112.0	39.4408
1113.0	40.0096
1114.0	39.4649
1115.0	39.3703
1116.0	39.3465
1117.0	39.3231
1118.0	39.2998
1119.0	39.2762
1120.0	39.2527
1121.0	39.2293
1122.0	39.2059
1123.0	39.1825
1124.0	39.1591
1125.0	39.1361
1126.0	39.1127
1127.0	39.0887
1128.0	39.0652
1129.0	39.0415
1130.0	39.018
1131.0	38.9941
1132.0	38.9703
1133.0	38.9463
1134.0	38.9219
1135.0	38.8975
1136.0	38.8725
1137.0	38.8474
1138.0	38.8215
1139.0	38.7953
1140.0	38.7684
1141.0	38.7403
1142.0	38.7106
1143.0	38.6786
1144.0	38.6437
1145.0	38.6036
1146.0	38.5582
1147.0	38.5001
1148.0	38.4258
1149.0	38.319
1150.0	38.1461
1151.0	38.7397
1152.0	42.0624
1153.0	38.0394
1154.0	38.0649
1155.0	38.1831
1156.0	38.2437
1157.0	38.2789
1158.0	38.2942
1159.0	38.2922
1160.0	38.2859
1161.0	38.2758
1162.0	38.2636
1163.0	39.0684
1164.0	38.2305
1165.0	38.212
1166.0	38.1936
1167.0	38.1743
1168.0	38.1544
1169.0	38.1345
1170.0	38.1141
1171.0	38.0935
1172.0	38.0727
1173.0	38.0519
1174.0	38.0305
1175.0	38.0095
1176.0	37.9883
1177.0	37.9692
1178.0	37.9455
1179.0	37.9242
1180.0	37.9026
1181.0	37.8811
1182.0	37.8598
1183.0	37.8393
1184.0	37.8166
1185.0	37.7952
1186.0	37.7736
1187.0	37.752
1188.0	37.7303
1189.0	37.7089
