# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
518.0	61.3441
519.0	61.2837
520.0	61.2249
521.0	61.1663
522.0	61.1077
523.0	61.0492
524.0	60.9906
525.0	60.932
526.0	60.8735
527.0	60.8149
528.0	60.7563
529.0	60.6977
530.0	60.6386
531.0	60.579
532.0	60.5193
533.0	60.4597
534.0	60.4
535.0	60.3404
536.0	60.2807
537.0	60.2211
538.0	60.1614
539.0	60.1025
540.0	60.0438
541.0	59.9852
542.0	59.9265
543.0	59.8678
544.0	59.8091
545.0	59.7515
546.0	59.6939
547.0	59.6362
548.0	59.5787
549.0	59.5215
550.0	59.4644
551.0	59.4076
552.0	59.3509
553.0	59.2944
554.0	59.2383
555.0	59.1821
556.0	59.1259
557.0	59.1408
558.0	59.0145
559.0	58.9591
560.0	58.9039
561.0	58.8489
562.0	58.7938
563.0	58.7388
564.0	58.6839
565.0	58.6295
566.0	58.575
567.0	58.5206
568.0	58.4664
569.0	58.4123
570.0	58.3587
571.0	58.3055
572.0	58.252
573.0	58.1989
574.0	58.1461
575.0	58.0932
576.0	58.0406
577.0	57.9882
578.0	57.9359
579.0	57.8836
580.0	57.8317
581.0	57.7799
582.0	57.7282
583.0	57.6767
584.0	57.6259
585.0	57.5751
586.0	57.5247
587.0	57.4745
588.0	57.4244
589.0	57.3743
590.0	57.3242
591.0	57.2744
592.0	57.2246
593.0	57.1749
594.0	57.1254
595.0	57.0759
596.0	57.0264
597.0	56.977
598.0	56.9279
599.0	56.8791
600.0	56.8303
601.0	56.7815
602.0	56.7326
603.0	56.6838
604.0	56.6351
605.0	56.5872
606.0	56.5393
607.0	56.4915
608.0	56.4436
609.0	56.3957
610.0	56.3479
611.0	56.3
612.0	56.2521
613.0	56.2043
614.0	56.1566
615.0	56.1098
616.0	56.0631
617.0	56.0163
618.0	55.9696
619.0	55.9228
620.0	55.8761
621.0	55.8294
622.0	55.7826
623.0	55.7359
624.0	55.6891
625.0	55.6424
626.0	55.5956
627.0	55.5499
628.0	55.5044
629.0	55.4588
630.0	55.4133
631.0	55.3677
632.0	55.3222
633.0	55.2766
634.0	55.2311
635.0	55.1855
636.0	55.14
637.0	55.0944
638.0	55.0489
639.0	55.0039
640.0	54.96
641.0	54.9162
642.0	54.8723
643.0	54.8284
644.0	54.7845
645.0	54.7407
646.0	54.6968
647.0	54.6529
648.0	54.6091
649.0	54.5652
650.0	54.5213
651.0	54.4774
652.0	54.4342
653.0	54.3915
654.0	54.3488
655.0	54.3061
656.0	54.2634
657.0	54.2207
658.0	54.1779
659.0	54.1352
660.0	54.0925
661.0	54.0498
662.0	54.0071
663.0	53.9644
664.0	53.9217
665.0	53.8794
666.0	53.8375
667.0	53.7956
668.0	53.7537
669.0	53.7119
670.0	53.67
671.0	53.6281
672.0	53.5862
673.0	53.5443
674.0	53.5027
675.0	53.4613
676.0	53.4198
677.0	53.3784
678.0	53.3369
679.0	53.2955
680.0	53.2543
681.0	53.2132
682.0	53.1721
683.0	53.131
684.0	53.09
685.0	53.049
686.0	53.0082
687.0	52.9677
688.0	52.9271
689.0	52.8865
690.0	52.8462
691.0	52.8057
692.0	52.7653
693.0	52.7249
694.0	52.6846
695.0	52.6446
696.0	52.6046
697.0	52.5645
698.0	52.5245
699.0	52.4847
700.0	52.4448
701.0	52.405
702.0	52.3653
703.0	52.3256
704.0	52.2858
705.0	52.2461
706.0	52.2062
707.0	52.1662
708.0	52.1262
709.0	52.0864
710.0	52.0467
711.0	52.007
712.0	51.9674
713.0	51.9278
714.0	51.8883
715.0	51.849
716.0	51.8097
717.0	51.7703
718.0	51.731
719.0	51.692
720.0	51.6529
721.0	51.6137
722.0	51.5747
723.0	51.5359
724.0	51.4972
725.0	51.4584
726.0	51.4197
727.0	51.3812
728.0	51.3426
729.0	51.3041
730.0	51.2655
731.0	51.227
732.0	51.1888
733.0	51.1506
734.0	51.1124
735.0	51.0742
736.0	51.0361
737.0	50.9979
738.0	50.9597
739.0	50.9218
740.0	50.8839
741.0	50.8461
742.0	50.8082
743.0	50.7704
744.0	50.7327
745.0	50.6951
746.0	50.6574
747.0	50.6199
748.0	50.5824
749.0	50.5449
750.0	50.5078
751.0	50.4705
752.0	50.4781
753.0	50.3962
754.0	50.3592
755.0	50.3221
756.0	50.2852
757.0	50.2483
758.0	50.2115
759.0	50.1747
760.0	50.1379
761.0	50.1012
762.0	50.0645
763.0	50.0278
764.0	49.9913
765.0	49.9548
766.0	49.9183
767.0	49.8819
768.0	49.8454
769.0	49.8089
770.0	49.7728
771.0	49.7366
772.0	49.7005
773.0	49.6643
774.0	49.6282
775.0	49.592
776.0	49.5556
777.0	49.5192
778.0	49.483
779.0	49.4467
780.0	49.4103
781.0	49.3741
782.0	49.3379
783.0	49.3018
784.0	49.2658
785.0	49.23
786.0	49.1941
787.0	49.1583
788.0	49.1224
789.0	49.0866
790.0	49.0509
791.0	49.0153
792.0	48.9797
793.0	48.944
794.0	48.9085
795.0	48.8732
796.0	48.8379
797.0	48.8026
798.0	48.7673
799.0	48.732
800.0	48.6967
801.0	48.6616
802.0	48.6267
803.0	48.5919
804.0	48.557
805.0	48.5222
806.0	48.4874
807.0	48.4525
808.0	48.4177
809.0	48.3828
810.0	48.348
811.0	48.3131
812.0	48.2788
813.0	48.2444
814.0	48.2101
815.0	48.1758
816.0	48.1414
817.0	48.1071
818.0	48.0728
819.0	48.0384
820.0	48.0041
821.0	47.9697
822.0	47.9354
823.0	47.9011
824.0	47.8671
825.0	47.8332
826.0	47.7994
827.0	47.7655
828.0	47.7317
829.0	47.6978
830.0	47.6639
831.0	47.6301
832.0	47.5965
833.0	47.563
834.0	47.5295
835.0	47.4961
836.0	47.4626
837.0	47.4292
838.0	47.3959
839.0	47.3626
840.0	47.3293
841.0	47.296
842.0	47.2628
843.0	47.2296
844.0	47.1967
845.0	47.1636
846.0	47.1305
847.0	47.0975
848.0	47.0646
849.0	47.0317
850.0	46.9988
851.0	46.9659
852.0	46.9333
853.0	46.9009
854.0	46.8686
855.0	46.8363
856.0	46.804
857.0	46.7719
858.0	46.7397
859.0	46.7075
860.0	46.6754
861.0	46.6432
862.0	46.611
863.0	46.5789
864.0	46.5471
