# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
14.36437	168.3662
14.36853	168.3488
14.3713	168.3366
14.37315	168.3275
14.37438	168.3219
14.3752	168.3178
14.37575	168.3153
14.37611	168.314
14.37636	168.3133
14.37652	168.3127
14.37663	168.3123
14.3767	168.3119
14.37675	168.3117
14.37678	168.3116
14.3768	168.3115
14.37682	168.3114
14.37683	168.3113
14.37686	168.3112
14.3769	168.311
14.37696	168.3107
14.37704	168.3103
14.37717	168.3096
14.37737	168.3087
14.37766	168.3075
14.3781	168.3057
14.37875	168.3022
14.37974	168.297
14.38122	168.2907
14.38343	168.2814
14.38676	168.267
14.39174	168.2446
14.39923	168.2111
14.41045	168.16
14.42728	168.0868
14.45253	167.9755
14.4904	167.8063
14.54721	167.5559
14.63243	167.1839
14.69581	166.9081
14.73806	166.7224
14.76623	166.6012
14.78501	166.5206
14.79753	166.4666
14.80587	166.4304
14.81144	166.4071
14.81515	166.3893
14.81762	166.3805
14.81927	166.3725
14.82037	166.3676
14.8211	166.3649
14.82159	166.3631
14.82191	166.3615
14.82213	166.3605
14.82228	166.3598
14.82237	166.3594
14.82244	166.3591
14.82248	166.3589
14.82251	166.3588
14.82253	166.3587
14.82254	166.3587
14.82256	166.3586
14.8226	166.3585
14.82265	166.3584
14.82272	166.3581
14.82284	166.3578
14.82301	166.3573
14.82326	166.3562
14.82364	166.3543
14.82422	166.3517
14.82508	166.3481
14.82637	166.3416
14.8283	166.3344
14.8312	166.3197
14.83555	166.3037
14.84208	166.2745
14.85187	166.2325
14.86656	166.1702
14.88859	166.076
14.92164	165.9339
14.97121	165.7226
15.04556	165.4077
15.10813	165.1456
15.14984	164.9701
15.17765	164.8536
15.19619	164.7751
15.20855	164.7238
15.21679	164.6897
15.22228	164.6671
15.22594	164.6521
15.22838	164.6415
15.23001	164.6338
15.2311	164.63
15.23182	164.6275
15.2323	164.6259
15.23262	164.6247
15.23284	164.6235
15.23298	164.6226
15.23308	164.622
15.23314	164.6216
15.23318	164.6213
15.23321	164.6211
15.23323	164.621
15.23325	164.6209
15.23327	164.6208
15.23331	164.6205
15.23337	164.6202
15.23347	164.6196
15.2336	164.6187
15.23381	164.6175
15.23411	164.6162
15.23457	164.6144
15.23526	164.6125
15.2363	164.6092
15.23785	164.6006
15.24018	164.5926
15.24367	164.5768
15.24891	164.5549
15.25677	164.524
15.26855	164.474
15.28624	164.4018
15.31276	164.2907
15.35254	164.1252
15.37254	164.0441
15.38587	163.9887
15.39475	163.9525
15.40068	163.9278
15.40463	163.9116
15.40726	163.9001
15.40902	163.8934
15.41019	163.8895
15.41097	163.8855
15.41149	163.8826
15.41183	163.8812
15.41206	163.8804
15.41222	163.8799
15.41232	163.8795
15.41239	163.8793
15.41244	163.8791
15.41247	163.879
15.41249	163.8789
15.41251	163.8788
15.41253	163.8787
15.41258	163.8785
15.41264	163.8782
15.41274	163.8779
15.41288	163.8773
15.4131	163.8764
15.41342	163.8752
15.41391	163.8736
15.41465	163.8716
15.41574	163.8669
15.41739	163.8587
15.41987	163.8493
15.42358	163.8336
15.42914	163.8126
15.43748	163.7749
15.4663	163.6586
15.48551	163.5785
15.49832	163.5275
15.50686	163.4919
15.51255	163.4691
15.51635	163.4521
15.51888	163.4442
15.52057	163.4366
15.52169	163.4315
15.52244	163.429
15.52294	163.4271
15.52327	163.4255
15.52349	163.4243
15.52364	163.4235
15.52374	163.423
15.52381	163.4227
15.52385	163.4225
15.52388	163.4223
15.5239	163.4222
15.52392	163.4221
15.52394	163.422
15.52398	163.4219
15.52404	163.4216
15.52413	163.4213
15.52427	163.4209
15.52447	163.4203
15.52478	163.4196
15.52523	163.418
15.52592	163.4145
15.52695	163.4099
15.52849	163.4036
15.5308	163.3965
15.53426	163.3807
15.53946	163.3593
15.54726	163.3276
15.55896	163.2808
15.5765	163.2081
15.60282	163.1013
15.61282	163.0611
15.6195	163.0341
15.62394	163.0161
15.62691	163.0035
15.62888	162.9967
15.6302	162.991
15.63108	162.9869
15.63167	162.9832
15.63206	162.9816
15.63232	162.9811
15.63249	162.9807
15.63261	162.9804
15.63268	162.9801
15.63273	162.9799
15.63277	162.9798
15.63279	162.9797
15.63281	162.9796
15.63282	162.9795
15.63285	162.9794
15.63289	162.9792
15.63295	162.979
15.63304	162.9786
15.63317	162.978
15.63337	162.977
15.63366	162.9757
15.63411	162.9742
15.63478	162.972
15.63645	162.9653
15.63757	162.9598
15.63831	162.9567
15.63881	162.9548
15.63914	162.9539
15.63936	162.9534
15.63951	162.953
15.6396	162.9529
15.63967	162.9528
15.63971	162.9527
15.63974	162.9526
15.63976	162.9525
15.63978	162.9525
15.63981	162.9524
15.63985	162.9522
15.63991	162.952
15.64	162.9516
15.64014	162.9509
15.64034	162.9499
15.64065	162.9483
15.64111	162.9462
15.64181	162.9432
15.64285	162.9379
15.64441	162.9335
15.64675	162.9226
15.65026	162.9076
15.65553	162.8873
15.66343	162.8549
15.67529	162.8066
15.69307	162.7359
15.71974	162.6296
15.75975	162.4668
15.81977	162.2257
15.85759	162.0746
15.88281	161.9756
15.89962	161.907
15.91083	161.8617
15.9183	161.8325
15.92328	161.8133
15.92661	161.7984
15.92882	161.7917
15.93029	161.7841
15.93128	161.7799
15.93194	161.7774
15.93237	161.7762
15.93266	161.7757
15.93286	161.7753
15.93299	161.7751
15.93307	161.7749
15.93313	161.7748
15.93317	161.7747
15.9332	161.7747
15.93321	161.7746
15.93323	161.7746
15.93326	161.7745
15.93331	161.7744
15.93337	161.7742
15.93348	161.7738
15.93363	161.7731
15.93385	161.772
15.93419	161.7703
15.9347	161.7681
15.93547	161.7642
15.93661	161.7595
15.93833	161.7542
15.94091	161.7417
15.94478	161.7276
15.95058	161.7044
15.95929	161.6689
15.97235	161.6175
15.99193	161.5403
16.02131	161.425
16.06539	161.2493
16.15004	160.9157
16.20648	160.6947
16.24411	160.5476
16.26919	160.4492
16.28591	160.3839
16.29706	160.3403
16.30449	160.3117
16.30945	160.2924
16.31275	160.2792
16.31495	160.2697
16.31642	160.2643
16.3174	160.2615
16.31805	160.2597
16.31849	160.2579
16.31878	160.2564
16.31897	160.2555
16.3191	160.2548
16.31919	160.2544
16.31924	160.2541
16.31928	160.2539
16.31931	160.2538
16.31932	160.2537
16.31934	160.2536
16.31937	160.2534
16.31941	160.2532
16.31948	160.2529
16.31957	160.2524
16.31971	160.2518
16.31992	160.2508
16.32023	160.2496
16.32071	160.2477
16.32142	160.245
16.32249	160.2426
16.32409	160.2362
16.32649	160.2259
16.33009	160.2114
16.33549	160.1903
16.34359	160.1602
16.35574	160.1115
16.37397	160.0407
16.40102	159.9368
16.41906	159.8673
16.43109	159.8179
16.4391	159.7887
16.44445	159.7672
16.44801	159.7529
16.45038	159.7447
16.45197	159.7387
16.45302	159.7343
16.45373	159.732
16.4542	159.7305
16.45451	159.7292
16.45472	159.7282
16.45486	159.7276
16.45495	159.7272
16.45501	159.7269
16.45505	159.7267
16.45508	159.7266
16.4551	159.7265
16.45512	159.7264
16.45515	159.7263
16.45519	159.7261
16.45526	159.7258
16.45535	159.7254
16.4555	159.7249
16.45572	159.7242
16.45605	159.7229
16.45655	159.721
16.45729	159.7182
16.45841	159.7131
16.46008	159.7067
16.46259	159.6968
16.46636	159.6846
16.472	159.6607
16.48047	159.6275
16.49318	159.5785
16.51224	159.5057
16.54083	159.3955
16.58372	159.2301
